lat: 55.727786, lon: 37.337140
lat: 55.727794, lon: 37.337162
lat: 55.727800, lon: 37.337149
lat: 55.727790, lon: 37.337151
lat: 55.727791, lon: 37.337130
lat: 55.727793, lon: 37.337139
lat: 55.727793, lon: 37.337112
lat: 55.727805, lon: 37.337124
lat: 55.727804, lon: 37.337115
lat: 55.727802, lon: 37.337109
lat: 55.727805, lon: 37.337122
lat: 55.727798, lon: 37.337097
lat: 55.727785, lon: 37.337074
lat: 55.727772, lon: 37.337094
lat: 55.727764, lon: 37.337095
lat: 55.727776, lon: 37.337117
lat: 55.727763, lon: 37.337125
lat: 55.727773, lon: 37.337140
lat: 55.727785, lon: 37.337166
lat: 55.727780, lon: 37.337162
lat: 55.727768, lon: 37.337182
lat: 55.727755, lon: 37.337187
lat: 55.727767, lon: 37.337161
lat: 55.727761, lon: 37.337153
lat: 55.727757, lon: 37.337167
lat: 55.727764, lon: 37.337189
lat: 55.727764, lon: 37.337164
lat: 55.727777, lon: 37.337167
lat: 55.727765, lon: 37.337141
lat: 55.727763, lon: 37.337133
lat: 55.727764, lon: 37.337123
lat: 55.727757, lon: 37.337128
lat: 55.727771, lon: 37.337107
lat: 55.727767, lon: 37.337126
lat: 55.727755, lon: 37.337138
lat: 55.727748, lon: 37.337120
lat: 55.727751, lon: 37.337113
lat: 55.727759, lon: 37.337113
lat: 55.727756, lon: 37.337091
lat: 55.727766, lon: 37.337103
lat: 55.727776, lon: 37.337106
lat: 55.727781, lon: 37.337097
lat: 55.727783, lon: 37.337104
lat: 55.727795, lon: 37.337112
lat: 55.727799, lon: 37.337105
lat: 55.727784, lon: 37.337086
lat: 55.727789, lon: 37.337074
lat: 55.727797, lon: 37.337080
lat: 55.727793, lon: 37.337061
lat: 55.727792, lon: 37.337059
lat: 55.727803, lon: 37.337072
lat: 55.727807, lon: 37.337070
lat: 55.727796, lon: 37.337065
lat: 55.727809, lon: 37.337065
lat: 55.727809, lon: 37.337080
lat: 55.727801, lon: 37.337071
lat: 55.727796, lon: 37.337092
lat: 55.727801, lon: 37.337114
lat: 55.727802, lon: 37.337118
lat: 55.727803, lon: 37.337099
lat: 55.727817, lon: 37.337103
lat: 55.727810, lon: 37.337109
lat: 55.727821, lon: 37.337084
lat: 55.727812, lon: 37.337069
lat: 55.727803, lon: 37.337080
lat: 55.727808, lon: 37.337055
lat: 55.727807, lon: 37.337045
lat: 55.727806, lon: 37.337049
lat: 55.727813, lon: 37.337045
lat: 55.727801, lon: 37.337031
lat: 55.727792, lon: 37.337021
lat: 55.727794, lon: 37.337023
lat: 55.727785, lon: 37.337009
lat: 55.727783, lon: 37.337021
lat: 55.727793, lon: 37.337047
lat: 55.727804, lon: 37.337062
lat: 55.727806, lon: 37.337043
lat: 55.727802, lon: 37.337038
lat: 55.727792, lon: 37.337044
lat: 55.727797, lon: 37.337036
lat: 55.727791, lon: 37.337027
lat: 55.727787, lon: 37.337041
lat: 55.727792, lon: 37.337060
lat: 55.727787, lon: 37.337054
lat: 55.727781, lon: 37.337049
lat: 55.727784, lon: 37.337049
lat: 55.727791, lon: 37.337032
lat: 55.727777, lon: 37.337055
lat: 55.727775, lon: 37.337053
lat: 55.727779, lon: 37.337040
lat: 55.727778, lon: 37.337041
lat: 55.727764, lon: 37.337015
lat: 55.727768, lon: 37.337011
lat: 55.727766, lon: 37.337028
lat: 55.727752, lon: 37.337006
lat: 55.727743, lon: 37.336998
lat: 55.727739, lon: 37.337000
lat: 55.727728, lon: 37.336976
lat: 55.727725, lon: 37.336973
lat: 55.727723, lon: 37.336984
lat: 55.727734, lon: 37.336960
lat: 55.727725, lon: 37.336964
lat: 55.727717, lon: 37.336950
lat: 55.727717, lon: 37.336959
lat: 55.727723, lon: 37.336939
